,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
37,Nisia Floresta,BR,87.8,-6.09,-35.21,62,75,12.75
38,Salta,AR,68.79,-24.79,-65.41,68,75,2.24
39,Geraldton,CA,-2.21,49.72,-86.95,77,90,3.69
40,Esperance,TT,84.2,10.24,-61.45,54,20,12.75
41,Victoria,BN,79.81,5.28,115.24,94,75,4.7
42,Codajas,BR,85.45,-3.84,-62.06,83,36,4.03
43,Victoria,BN,79.81,5.28,115.24,94,75,4.7
44,Chokurdakh,RU,-27.41,70.62,147.9,43,56,3.69
45,Albany,US,30.4,42.65,-73.75,92,90,5.82
46,Thompson,CA,-25.61,55.74,-97.86,67,75,4.7
47,Jalu,LY,79.78,29.03,21.55,15,0,15.05
48,Bluff,AU,75.1,-23.58,149.07,73,100,15.43
49,Nikolskoye,RU,30.2,59.7,30.79,92,90,15.66
50,Georgetown,GY,83.25,6.8,-58.16,74,75,13.87
51,Gravdal,NO,30.81,59.79,5.78,86,0,5.82
52,Ushuaia,AR,59,-54.81,-68.31,77,75,25.28
53,Yulara,AU,86,-25.24,130.99,27,20,6.93
54,Sorgun,TR,36.36,39.81,35.19,85,0,2.8
55,Boguchany,RU,-39.7,58.38,97.46,0,0,2.53
56,Baykit,RU,-45.68,61.68,96.39,0,36,2.68
57,Trinidad,UY,73.08,-33.52,-56.9,73,20,12.03
58,Lebu,ET,73.4,8.96,38.73,17,0,9.17
59,Port Hardy,CA,21.2,50.7,-127.42,67,90,12.75
60,Avarua,CK,75.2,-21.21,-159.78,94,20,3.36
61,Bredasdorp,ZA,77,-34.53,20.04,65,92,20.8
62,Bubaque,GW,83.83,11.28,-15.83,81,0,3.8
63,Dicamay,PH,71.1,16.76,122,98,76,2.98
64,Laguna,MX,55.4,27.52,-110.01,87,75,3.2
65,East London,ZA,69.8,-33.02,27.91,94,20,9.17
66,Loandjili,CG,86.71,-4.77,11.87,81,24,10.02
67,Recreio,BR,95.13,-21.52,-42.47,47,20,5.59
68,Qaanaaq,GL,-21.38,77.48,-69.36,91,0,4.81
69,Tiarei,PF,82.4,-17.53,-149.33,74,92,14.99
70,Muros,ES,50.09,42.77,-9.06,57,20,3.36
71,Ossora,RU,13.86,59.24,163.07,83,76,16.62
72,Vaini,IN,75.33,15.34,74.49,40,0,5.55
73,Teguise,ES,64.4,29.06,-13.56,72,40,25.28
74,Clyde River,CA,-7.61,70.47,-68.59,76,90,28.86
75,Diveyevo,RU,22.68,55.04,43.25,90,92,6.71
76,Tanabe,JP,61.38,33.73,135.39,97,92,15.39
77,Hilo,US,68,19.71,-155.08,87,90,3.98
78,Vestmanna,FO,35.6,62.16,-7.17,100,0,8.05
79,Sao Filipe,CV,72.04,14.9,-24.5,92,44,13.87
80,Barranca,PE,72.9,-10.75,-77.76,96,24,9.62
81,Payson,US,37.42,40.04,-111.73,73,75,4.7
82,Xining,CN,14.71,36.62,101.77,28,8,4.7
83,Piacabucu,BR,86.76,-10.41,-36.43,72,20,8.72
84,Cabo San Lucas,MX,62.49,22.89,-109.91,82,40,12.75
85,Ziro,IN,46.12,27.54,93.82,97,92,1.34
86,Kaohsiung,TW,73.11,22.62,120.31,88,75,3.36
87,Sitka,US,42.3,37.17,-99.65,58,0,8.01
88,Arsenyev,RU,19.21,44.16,133.27,66,92,8.57
89,Saint George,GR,60.69,39.45,22.34,59,20,13.87
90,Faanui,PF,83.43,-16.48,-151.75,99,92,16.44
91,Sur,OM,72.31,22.57,59.53,99,0,17.18
92,Puerto Ayora,EC,80.6,-0.74,-90.35,78,40,10.29
93,Butaritari,KI,84.37,3.07,172.79,100,44,19.57
94,Ambilobe,MG,77.31,-13.19,49.05,94,64,3.53
95,Khandyga,RU,-32.36,62.65,135.58,55,64,2.46
96,Caravelas,BR,82.57,-17.73,-39.27,100,0,10.58
97,Port Elizabeth,US,35.91,39.31,-74.98,81,1,3.36
98,New Norfolk,AU,62.6,-42.78,147.06,88,75,5.82
99,Upernavik,GL,10.21,72.79,-56.15,81,20,6.6
100,Keetmanshoop,NA,93.82,-26.57,18.15,5,0,10.4
101,Te Anau,NZ,43.87,-45.41,167.72,63,0,6.26
102,Bagaha,IN,61.96,27.1,84.09,46,0,9.91
103,Hofn,IS,28.4,64.25,-15.21,92,90,2.24
104,Mumbwa,ZM,83.83,-14.99,27.06,48,36,8.61
105,Cayenne,GF,84.2,4.94,-52.33,70,75,11.41
106,Saint-Georges,CA,8.73,46.12,-70.67,63,68,3.47
107,Conceicao das Alagoas,BR,87.16,-19.91,-48.39,76,44,4.76
108,Dalaba,GN,90.94,10.69,-12.25,31,68,4.59
109,El Sauzal,AR,68,-24.3,-64.96,82,90,9.17
110,Port Alfred,ZA,71.5,-33.59,26.89,87,68,13.15
111,Ekibastuz,KZ,-1,51.72,75.32,79,88,6.11
112,Jiuquan,CN,-9.86,39.73,98.49,40,0,2.35
113,Ancud,CL,80.6,-41.87,-73.83,34,0,4.7
114,Kudahuvadhoo,MV,82.71,2.67,72.89,99,36,17.45
115,Margate,AU,62.6,-43.03,147.26,88,75,5.82
116,Mariakani,KE,84.2,-3.87,39.47,66,20,12.75
117,Norman Wells,CA,-27.41,65.28,-126.83,74,5,8.05
118,Skowhegan,US,18.54,44.77,-69.72,77,75,2.53
119,Leshukonskoye,RU,-3.47,64.9,45.76,52,68,5.59
120,Memaliaj,AL,54.13,40.35,19.98,96,92,8.23
121,Port Lincoln,AU,66.55,-34.72,135.86,95,88,18.34
122,Mahebourg,MU,82.4,-20.41,57.7,78,75,4.7
123,Salalah,OM,77,17.01,54.1,65,20,5.82
124,Alyangula,AU,86,-13.85,136.42,70,90,16.11
125,Jardim,BR,90.67,-21.48,-56.15,59,32,4.54
126,Ahipara,NZ,66.19,-35.17,173.16,99,32,11.59
127,Los Aquijes,PE,71.6,-14.1,-75.69,30,40,9.17
128,Ambovombe,MG,78.3,-25.18,46.09,75,12,18.68
129,Torbay,CA,24.39,47.66,-52.73,72,40,24.16
130,Roald,NO,27.09,62.58,6.12,100,90,8.05
131,Bilibino,RU,-8.2,68.06,166.44,60,80,4.76
132,Chachoengsao,TH,81.55,13.69,101.06,83,44,8.05
133,Souillac,FR,44.38,45.6,-0.6,52,0,8.05
134,Vila Velha,BR,86,-3.71,-38.6,70,75,18.34
135,Severodvinsk,RU,-9.41,64.56,39.82,76,0,13.42
136,Rocha,UY,74.29,-34.48,-54.34,55,12,12.64
137,Tuktoyaktuk,CA,-20.21,69.44,-133.03,75,20,16.11
138,Khromtau,KZ,7.56,50.26,58.44,74,68,5.1
139,Hithadhoo,MV,84.19,-0.6,73.08,98,24,13.76
140,Insar,RU,18.63,53.87,44.37,93,88,7.61
141,Chapleau,CA,8.6,47.85,-83.4,92,90,4.7
142,Punta Arenas,CL,64.4,-53.16,-70.91,63,20,17.22
143,Berlevag,NO,6.8,70.86,29.09,77,0,9.17
144,Hami,CN,11.7,42.84,93.51,65,76,1.34
145,Saint-Philippe,CA,8.64,45.36,-73.48,71,75,11.41
146,Cidreira,BR,74.88,-30.17,-50.22,80,88,14.94
147,Cherskiy,RU,-14,68.75,161.3,64,8,8.9
148,Marawi,PH,66.82,8,124.29,100,24,2.01
149,Biltine,TD,98.14,14.53,20.93,19,0,4.59
150,Arraial do Cabo,BR,84.2,-22.97,-42.02,66,20,14.99
151,Kahului,US,65.68,20.89,-156.47,92,20,7.56
152,Nara,JP,60.8,34.68,135.8,93,75,18.34
153,Karatau,KZ,26.32,43.18,70.46,78,20,2.57
154,Lorengau,PG,80.23,-2.02,147.27,100,92,13.6
155,Vidim,CZ,31.17,50.47,14.53,100,90,13.87
156,Mbandaka,CD,83.2,0.05,18.26,76,12,2.57
157,Egvekinot,RU,11.83,66.32,-179.17,99,88,2.8
158,Karratha,AU,92.2,-20.74,116.85,29,48,7.23
159,Iwanai,JP,34.78,42.97,140.51,100,92,13.76
160,Mayor Pablo Lagerenza,PY,86.17,-19.93,-60.77,75,32,11.07
161,Elko,US,32,40.83,-115.76,85,90,4.7
162,Takoradi,GH,84.37,4.89,-1.75,92,0,8.61
163,Vestmannaeyjar,IS,32,63.44,-20.27,100,75,21.92
164,Brae,GB,38.41,60.4,-1.35,86,64,13.87
165,Linxia,CN,9.22,35.6,103.21,73,12,2.24
166,Castro,CL,80.6,-42.48,-73.76,34,0,4.7
167,Treinta y Tres,UY,74.02,-33.23,-54.39,67,64,13.42
168,Goundam,ML,90.18,16.42,-3.66,25,24,9.8
169,Ostrovnoy,RU,-8.24,68.05,39.51,80,20,8.72
170,Longhua,CN,43.2,29.21,106.21,80,36,2.53
171,Quatre Cocos,MU,82.4,-20.21,57.76,78,75,4.7
172,Petropavlovsk-Kamchatskiy,RU,14,53.05,158.65,92,0,6.71
173,Abu Dhabi,AE,70.66,24.47,54.37,68,0,2.24
174,Teya,MX,78.8,21.05,-89.07,78,75,10.29
175,Matara,PE,48.2,-13.74,-72.9,61,90,8.05
176,Haines Junction,CA,-38.98,60.75,-137.51,0,0,2.01
177,Namibe,AO,79.51,-15.19,12.15,95,0,14.83
178,Yagodnoye,RU,-15.4,62.52,149.63,61,64,3.02
179,Pevek,RU,-4.28,69.7,170.27,78,80,20.58
180,Fortuna,ES,56.62,38.18,-1.13,26,20,25.28
181,Pirovskoye,RU,-39.43,57.63,92.27,0,0,3.47
182,San Jose,PH,71.01,15.79,120.99,99,68,2.3
183,Avera,US,55.87,33.19,-82.53,64,90,6.93
184,Kiama,AU,71.6,-34.67,150.86,100,0,3.36
185,Khandbari,NP,23.58,27.38,87.21,57,0,1.57
186,Arlit,NE,85.86,18.74,7.39,28,0,6.04
187,Yumen,CN,14.31,40.29,97.04,71,0,14.32
188,Nenjiang,CN,-14.99,49.17,125.23,65,8,4.21
189,Jackson,US,55.2,35.61,-88.82,77,20,4.7
190,Severo-Kurilsk,RU,28.93,50.68,156.12,100,48,21.65
191,Longyearbyen,NO,28.4,78.22,15.63,68,75,16.11
192,Lavrentiya,RU,29.74,65.58,-170.99,92,88,17.78
193,Keflavik,IS,28.4,64,-22.56,100,75,5.82
194,Karasjok,NO,-4.01,69.47,25.52,76,90,41.38
195,Cururupu,BR,82.71,-1.82,-44.87,87,80,4.32
196,Pekin,US,41.49,40.57,-89.64,95,90,11.41
197,A Coruna,ES,49.78,43.37,-8.4,53,0,6.93
198,Port Blair,IN,83.56,11.67,92.75,96,0,11.14
199,Saldanha,PT,44.91,41.42,-6.55,64,20,3.31
200,Elizabeth City,US,49.14,36.3,-76.22,78,40,4.76
201,Svetlogorsk,RU,-0.41,53.14,59.15,91,56,6.71
202,Saskylakh,RU,-19.58,71.97,114.09,29,24,9.73
203,Cowra,AU,67,-33.84,148.69,83,0,3.69
204,Los Llanos de Aridane,ES,64.4,28.66,-17.92,59,75,13.87
205,Bulgan,MN,-9.73,48.81,103.53,59,44,2.01
206,Magadan,RU,5.44,59.56,150.8,100,56,18.41
207,Byron Bay,AU,68.43,-28.65,153.62,100,75,1.12
208,Port Shepstone,ZA,72.9,-30.74,30.45,100,92,12.75
209,Bereda,ES,51.8,43.27,-7.54,53,0,6.93
210,Kavieng,PG,84.28,-2.57,150.8,100,100,5.37
211,Kushiro,JP,18.94,43.11,144.15,72,80,4.36
212,Platanos,GR,64.4,35.47,23.6,82,20,18.12
213,Nipawin,CA,-18.41,53.36,-104.02,68,20,9.17
214,Arman,RU,-1.18,59.7,150.17,54,68,12.37
215,Kenai,US,18.91,60.55,-151.26,88,90,13.87
216,Airai,TL,70.56,-8.93,125.41,90,24,1.68
217,Moindou,NC,73.4,-21.69,165.68,94,56,3.36
218,Parrsboro,CA,17.6,45.41,-64.33,67,5,17.22
219,Sibut,CF,95.98,5.73,19.09,33,24,4.03
220,Mitchell,US,15.08,43.71,-98.03,80,90,16.11
221,Kavaratti,IN,83.88,10.57,72.64,98,8,7.72
222,Gat,SN,88.43,14.69,-16.54,18,0,2.24
223,Provideniya,RU,27.67,64.42,-173.23,91,88,11.59
224,Kanniyakumari,IN,82.35,8.08,77.57,97,0,25.9
225,Luderitz,NA,69.75,-26.65,15.16,65,0,20.13
226,Chapais,CA,-11.21,49.78,-74.86,76,90,3.36
227,Pativilca,PE,72.9,-10.7,-77.78,96,24,9.62
228,Sioux Lookout,CA,0.64,50.1,-91.92,84,90,5.82
229,Panjab,AF,19.8,34.38,67.02,84,92,2.08
230,Lafiagi,NG,98.68,8.85,5.42,37,8,4.32
231,Honiara,SB,74.25,-9.43,159.96,100,76,2.53
232,Kankaanpaa,FI,24.8,61.8,22.42,85,92,8.05
233,Atambua,ID,75.82,-9.11,124.89,100,100,2.8
234,Bolotnoye,RU,-39.92,55.67,84.39,0,8,5.99
235,Bellavista,CO,76,6.57,-76.89,93,76,0.85
236,Hermanus,ZA,65.74,-34.42,19.24,89,92,4.59
237,Hasaki,JP,52.29,35.73,140.83,77,75,16.11
238,Lodja,CD,83.38,-3.52,23.6,74,24,1.79
239,Dalby,AU,66.2,-27.18,151.26,88,20,8.05
240,Ilulissat,GL,21.2,69.22,-51.1,34,0,23.04
241,Husavik,CA,-8.6,50.56,-96.99,80,36,14.16
242,Walvis Bay,NA,67.54,-22.95,14.51,93,0,15.95
243,Edelira,PY,72.94,-26.75,-55.27,94,92,4.47
244,Sorland,NO,29.14,67.67,12.69,68,40,16.11
245,Zhumadian,CN,30.96,33.01,114.02,76,0,2.57
246,Dunedin,NZ,44.05,-45.87,170.5,95,12,3.2
247,Katsuura,JP,52.77,33.93,134.5,93,75,5.82
248,Banesti,RO,50,45.1,25.77,93,0,4.7
249,Tasiilaq,GL,19.4,65.61,-37.64,44,90,21.92
250,Tamale,GH,100.48,9.4,-0.84,33,24,4.76
251,Hualmay,PE,76.36,-11.1,-77.61,72,20,5.32
252,Petatlan,MX,69.8,17.52,-101.27,88,5,1.07
253,Gazanjyk,TM,42.3,39.24,55.52,97,92,2.98
254,Inta,RU,-4.46,66.04,60.13,55,0,7.38
255,Zyryanka,RU,-15.13,65.73,150.89,68,56,7.23
256,Revda,RU,-1.18,67.94,34.55,67,56,2.3
257,Vao,EE,35.59,59.1,26.19,99,88,9.28
258,Fairbanks,US,3.09,64.84,-147.72,84,90,5.77
259,Eirunepe,BR,81.76,-6.66,-69.87,85,44,3.09
260,Pathein,MM,73.03,16.78,94.73,79,0,7.34
261,Mangalia,RO,53.6,43.8,28.58,93,0,9.17
262,Carnarvon,ZA,80.77,-30.97,22.13,15,0,16.44
263,Komsomolskiy,RU,-29.75,67.55,63.78,0,0,6.82
264,Comodoro Rivadavia,AR,75.2,-45.87,-67.48,47,0,5.82
265,Kodiak,US,50.11,39.95,-94.76,99,90,10.29
266,Salobrena,ES,51.8,36.74,-3.59,32,0,13.87
267,Aktau,KZ,30.2,43.65,51.16,92,90,11.18
268,Aknada,RU,35.01,43.38,46.91,98,88,3.31
269,Lagoa,PT,59,37.14,-8.45,30,0,4.7
270,Okhotsk,RU,9.36,59.36,143.24,97,88,6.33
271,Constitucion,MX,42.8,23.99,-104.67,48,75,2.75
272,Flinders,AU,71.6,-34.58,150.85,100,0,3.36
273,Totma,RU,13.45,59.98,42.76,88,64,11.25
274,Hamilton,BM,66.2,32.3,-64.78,59,75,9.17
275,Kruisfontein,ZA,71.91,-34,24.73,82,0,13.76
276,San Patricio,PY,71.95,-26.98,-56.83,100,92,6.38
277,Bilma,NE,80.68,18.69,12.92,26,88,4.25
278,Weymouth,US,32.99,42.22,-70.94,66,0,3.36
279,Zanjan,IR,33.8,36.67,48.48,64,75,4.7
280,Helong,CN,59.4,25.94,116.13,98,92,3.53
281,Shaunavon,CA,-12.29,49.65,-108.41,70,92,11.81
282,Tautira,PF,82.4,-17.73,-149.15,74,88,14.99
283,La Asuncion,EC,52.06,-1.64,-78.74,95,76,3.31
284,Totskoye,RU,2.2,52.53,52.75,68,20,2.75
285,Dubovskoye,RU,27.36,47.41,42.76,92,80,4.09
286,Qasigiannguit,GL,21.2,68.82,-51.19,34,0,23.04
287,La Ronge,CA,-25.61,55.1,-105.3,67,20,2.24
288,Sabang,PH,74.7,13.72,123.58,100,92,9.28
289,Sobolevo,RU,33.66,54.43,31.9,96,92,11.36
290,Port Keats,AU,83.83,-14.25,129.55,87,8,18.01
291,Celestun,MX,75.19,20.87,-90.4,93,0,11.63
292,Ciudad Bolivar,VE,87.07,8.12,-63.55,51,0,11.25
293,Mount Isa,AU,73.4,-20.73,139.49,94,90,18.34
294,Kolpashevo,RU,-41.54,58.31,82.9,0,8,2.86
295,Palu,ID,68.26,-0.9,119.87,94,48,1.52
296,Tura,IN,56.2,25.52,90.21,79,0,3.36
297,Klaksvik,FO,35.6,62.23,-6.59,100,0,8.05
298,Chinsali,ZM,71.95,-10.55,32.07,81,76,4.36
299,Portland,US,40.26,45.52,-122.67,70,90,3.36
300,Inzer,RU,16.78,54.22,57.56,86,88,2.3
301,Mokolo,CM,93.28,10.74,13.8,16,0,6.11
302,Scottsbluff,US,35.94,41.87,-103.67,72,90,6.93
303,Khatanga,RU,-24.13,71.98,102.47,37,20,3.2
304,Flin Flon,CA,-23.81,54.77,-101.88,67,40,11.41
305,Vostok,RU,12.64,46.45,135.83,90,92,2.75
306,Ilave,PE,48.1,-16.09,-69.64,93,92,11.07
307,Alekseyevka,RU,14,53.25,50.49,85,20,6.71
308,Baruun-Urt,MN,-5.95,46.68,113.28,38,12,14.54
309,Namuac,PH,74.29,18.61,121.17,97,56,12.15
310,Forestville,CA,6.8,48.74,-69.09,65,75,8.05
311,Sarkand,KZ,-2.39,45.41,79.91,45,20,2.35
312,Xinmin,CN,15.8,42,122.83,19,0,8.95
313,Luganville,VU,77.98,-15.51,167.18,100,80,0.34
314,Mitsamiouli,KM,78.8,-11.38,43.28,88,75,2.24
315,Hammerfest,NO,18.07,70.66,23.68,61,0,48.32
316,Saint-Louis,CH,37.47,47.59,7.56,69,75,11.41
317,Neiafu,TO,75.2,-18.65,-173.98,88,20,2.24
318,Yaan,NG,98.68,7.38,8.57,38,8,4.32
319,Skjervoy,NO,21.2,70.03,20.97,67,20,29.97
320,Wangaratta,AU,74.91,-36.36,146.32,61,40,5.82
321,Christchurch,NZ,55.4,-43.53,172.64,100,0,5.82
322,Saint Anthony,US,34.39,43.97,-111.68,92,90,14.99
323,Beyneu,KZ,30.28,45.32,55.19,90,92,2.98
324,Vardo,US,35.08,39.62,-77.74,66,1,3.36
325,Blyth,GB,37.31,55.12,-1.5,80,75,8.05
326,Along,IN,50.85,28.17,94.8,76,76,1.74
327,Deputatskiy,RU,-48.65,69.3,139.9,0,0,1.74
328,Thinadhoo,MV,83.29,0.53,72.93,99,32,15.1
329,Champerico,MX,73.4,16.38,-93.6,73,20,2.24
330,College,US,3.6,64.86,-147.8,84,90,5.77
331,Mayo,CA,-45.41,63.59,-135.9,57,5,2.57
332,Sola,FI,10.4,62.78,29.36,85,90,17.22
333,Bambous Virieux,MU,82.4,-20.34,57.76,78,75,4.7
334,Chuy,UY,71.68,-33.69,-53.46,85,64,16.96
335,Onega,RU,4.09,63.91,38.09,82,48,8.79
336,Moranbah,AU,71.05,-22,148.04,96,100,15.84
337,Pacific Grove,US,53.26,36.62,-121.92,92,90,16.11
338,Koster,ZA,74.11,-25.86,26.9,83,24,8.72
339,Nelson Bay,AU,73.4,-32.72,152.14,73,0,4.7
340,Praya,ID,78.8,-8.71,116.27,94,40,2.24
341,Bawal,IN,55.8,28.07,76.58,83,0,6.89
342,Meridian,US,54.45,32.36,-88.7,93,90,3.36
343,Dawei,MM,76.23,14.07,98.19,89,12,2.01
344,San Cristobal,EC,60.57,-0.39,-78.55,68,75,3.36
345,Porto Velho,BR,87.8,-8.75,-63.87,66,40,9.17
346,Krasnovishersk,RU,-7.66,60.4,57.08,62,76,5.99
347,Tres Arroyos,AR,66.73,-38.38,-60.28,86,8,4.59
348,Kirakira,SB,77.53,-10.46,161.92,100,92,11.25
349,Anadyr,RU,14,64.73,177.51,85,75,4.47
350,Bartica,GY,82.4,6.41,-58.62,74,75,6.93
351,Yelizovo,RU,14,53.19,158.38,92,36,6.71
352,Tingo Maria,PE,63.13,-9.29,-76.01,100,100,0.96
353,Arica,CL,77.67,-18.48,-70.32,54,0,10.29
354,Samarai,PG,84.46,-10.62,150.67,100,12,8.23
355,Saint-Pierre,FR,41,48.95,4.24,92,75,12.75
356,Linjiang,CN,9.04,41.81,126.91,72,56,6.22
357,Siderno,IT,58.39,38.28,16.3,41,40,3.36
358,Naze,NG,84.28,5.43,7.07,98,12,6.78
359,Kodinsk,RU,-41.5,58.6,99.18,0,0,2.46
360,Grand-Lahou,CI,90.45,5.24,-5,63,8,6.26
361,Kurilsk,RU,23.71,45.23,147.88,100,20,8.12
362,Arroyo,US,37.06,41.39,-78.88,81,90,3.36
363,Xai-Xai,MZ,82.26,-25.04,33.64,83,0,14.65
364,Kaeo,NZ,65.61,-35.1,173.78,98,100,11.07
365,Padang,ID,83.02,-0.92,100.36,100,56,2.98
366,Millau,FR,33.8,44.1,3.08,80,90,17.22
367,Pisco,PE,71.6,-13.71,-76.2,30,40,9.17
368,Salinas,US,53.24,36.67,-121.66,92,90,16.11
369,Kaitangata,NZ,46.57,-46.28,169.85,82,64,3.58
370,Bandundu,CD,90.04,-3.32,17.38,69,0,4.7
371,Nangomba,TZ,80.95,-10.9,38.52,87,76,3.2
372,Sosnovo-Ozerskoye,RU,-30.65,52.53,111.54,0,12,6.82
373,Lucapa,AO,81.63,-8.42,20.74,82,24,4.03
374,Isangel,VU,77.85,-19.55,169.27,100,80,10.58
375,Auchel,FR,41.43,50.51,2.47,75,40,12.75
376,Cabedelo,BR,84.2,-6.97,-34.84,74,75,9.17
377,Muhos,FI,8.59,64.81,26,73,88,11.74
378,Hohhot,CN,12.2,40.81,111.65,39,0,4.47
379,Yokosuka,JP,48.11,35.24,139.66,82,75,19.46
380,Kano,NG,93.2,11.99,8.53,15,0,8.05
381,Lasa,CY,60.8,34.92,32.53,51,0,2.24
382,Mudgee,AU,69.8,-32.6,149.59,73,24,6.33
383,Hit,IQ,52.78,33.64,42.83,65,0,6.38
384,Port Arthur,US,59.77,29.9,-93.93,93,90,8.05
385,Petalcingo,MX,73.4,17.23,-92.41,94,20,3.36
386,Mapimi,MX,57.2,25.82,-103.85,35,75,2.46
387,Goderich,CA,38.16,43.74,-81.71,100,92,17.29
388,Thabazimbi,ZA,78.75,-24.59,27.41,64,56,4.7
389,Nishihara,JP,49.3,35.74,139.53,75,1,3.53
390,Severo-Yeniseyskiy,RU,-42.62,60.37,93.04,0,0,2.3
391,Bastrop,US,54.59,32.78,-91.91,98,90,4.7
392,Visnes,NO,32.7,59.36,5.22,86,0,5.82
393,Shimoda,JP,60.16,34.7,138.93,100,92,33.4
394,Ozernovskiy,RU,27.76,51.5,156.52,89,80,16.28
395,Peleduy,RU,-41.18,59.63,112.75,0,0,4.32
396,Farmington,US,38.32,36.73,-108.21,67,90,3.36
397,Kaniama,CD,76.68,-7.57,24.18,87,48,3.2
398,Kulhudhuffushi,MV,81.63,6.62,73.07,100,0,5.82
399,Codrington,AU,67.44,-28.95,153.24,88,90,2.46
400,Alugan,PH,75.78,12.22,125.48,96,0,9.13
401,Kailua,US,68.9,21.39,-157.74,81,20,4.7
402,Wajima,JP,56.74,37.4,136.9,95,92,27.47
403,Ilebo,CD,90.18,-4.33,20.59,52,20,3.87
404,Charters Towers,AU,70.83,-20.07,146.27,97,92,16.11
405,Tandalti,SD,91.39,13.01,31.87,30,0,7.9
406,Chanute,US,56.91,37.68,-95.46,96,90,14.99
407,Erenhot,CN,-6.85,43.65,111.97,54,12,5.37
408,Touros,BR,87.8,-5.2,-35.46,66,40,13.87
409,Najran,SA,86,17.54,44.22,19,40,4.7
410,Velyka Bahachka,UA,33.34,49.79,33.72,96,68,10.58
411,Innisfail,CA,-18.41,52.02,-113.95,68,90,10.29
412,Grand Gaube,MU,82.4,-20.01,57.66,78,75,4.7
413,Aripuana,BR,87.61,-9.17,-60.63,72,0,3.02
414,Lazaro Cardenas,MX,48.2,28.39,-105.62,63,75,6.93
415,Watrous,CA,-18.23,51.67,-105.46,75,64,7.9
416,Grave,DE,36.68,51.91,9.46,93,88,12.75
417,Cagliari,IT,27.75,46.38,10.88,92,90,24.16
418,Nouakchott,MR,80.6,18.08,-15.98,26,0,13.87
419,Vila,IT,50.2,45.18,8.4,87,92,1.12
420,Tezu,IN,49.86,27.93,96.16,66,8,1.52
421,Puerto Madryn,AR,74.65,-42.77,-65.04,56,0,12.15
422,Bathsheba,BB,82.4,13.22,-59.52,61,20,14.99
423,Benguela,AO,84.01,-12.58,13.4,85,12,9.51
424,Ust-Ishim,RU,-19.13,57.69,71.17,85,24,5.88
425,Viedma,AR,75.55,-40.81,-62.99,49,0,4.76
426,Hambantota,LK,80.6,6.12,81.12,94,0,11.41
427,Hailar,CN,-22.19,49.2,119.7,30,0,9.28
428,Aykhal,RU,-24.89,65.95,111.51,35,76,6.38
429,Fare,PF,82.08,-16.7,-151.02,100,92,14.43
430,Carhuaz,PE,52.87,-9.28,-77.65,82,48,2.75
431,Meulaboh,ID,79.42,4.14,96.13,100,48,4.25
432,Mwanga,TZ,88.42,-3.66,37.58,29,32,9.51
433,Panaba,MX,78.21,21.28,-88.27,79,0,4.03
